Kevin Garnett,F-C,jump,9,7
LeBron James,F,3pt,32,30
Kevin Garnett,F-C,jump,34,10
Paul Pierce,F,3pt,43,23
Mo Williams,G,layup,25,5
Ray Allen,G,layup,25,7
Mo Williams,G,jump,16,23
Paul Pierce,F,jump,24,25
LeBron James,F,driving layup,25,7
Ray Allen,G,3pt,2,13
Ray Allen,G,3pt,42,24
Kendrick Perkins,C,layup,25,7
LeBron James,F,3pt,48,8
Paul Pierce,F,jump,11,20
Eddie House,G,3pt,48,7
LeBron James,F,layup,25,7
Wally Szczerbiak,G-F,jump,41,20
Kevin Garnett,F-C,hook,24,10
LeBron James,F,jump,25,27
Tony Allen,G-F,layup,25,8
Leon Powe,F,jump,28,8
Daniel Gibson,G,jump,13,23
Eddie House,G,3pt,48,7
Eddie House,G,3pt,4,19
Ray Allen,G,layup,25,6
Tony Allen,G-F,layup,26,7
Anderson Varejao,C,jump,32,16
Sasha Pavlovic,G-F,3pt,48,5
Tony Allen,G-F,hook,26,6
Eddie House,G,3pt,45,21
Wally Szczerbiak,G-F,jump,27,23
Tony Allen,G-F,3pt,1,7
Lorenzen Wright,F-C,jump,23,21
Ray Allen,G,jump,44,18
LeBron James,F,jump,37,24
Zydrunas Ilgauskas,C,jump,38,7
Kevin Garnett,F-C,layup,25,7
Mo Williams,G,3pt,12,29
Paul Pierce,F,3pt,27,31
Kevin Garnett,F-C,jump,20,20
Sasha Pavlovic,G-F,3pt,40,26
Kevin Garnett,F-C,jump,6,8
LeBron James,F,jump,36,18
Kevin Garnett,F-C,jump,26,27
Delonte West,G,3pt,45,18
Kevin Garnett,F-C,jump,14,24
Delonte West,G,jump,11,11
Ray Allen,G,jump,19,18
Mo Williams,G,jump,33,26
Paul Pierce,F,driving layup,25,7
LeBron James,F,layup,25,7
Kevin Garnett,F-C,jump,43,11
Kevin Garnett,F-C,jump,36,22
Daniel Gibson,G,3pt,48,9
Anderson Varejao,C,fade away jumper,25,18
Wally Szczerbiak,G-F,3pt,48,5
Daniel Gibson,G,jump,37,20
