LaMarcus Aldridge,F,jump,11,7
Andre Miller,G,layup,25,6
Aaron Brooks,G,3pt,44,25
Carl Landry,F,layup,25,6
Aaron Brooks,G,3pt,6,22
LaMarcus Aldridge,F,jump bank,29,8
Brandon Roy,G,jump,11,22
Andre Miller,G,jump,10,19
David Andersen,C,turnaround fade away,15,9
Aaron Brooks,G,step back jump,38,10
David Andersen,C,layup,25,6
Brandon Roy,G,layup,25,6
Andre Miller,G,turnaround jump,7,7
Steve Blake,G,3pt,47,6
Carl Landry,F,jump,33,21
Kyle Lowry,G,driving reverse layup,25,6
Carl Landry,F,layup,25,6
Carl Landry,F,layup,25,6
Brandon Roy,G,jump,32,14
LaMarcus Aldridge,F,tip,25,6
Chase Budinger,F,3pt,3,16
Brandon Roy,G,pullup jump,32,27
David Andersen,C,jump,39,23
Al Thornton,F,jump,41,18
Baron Davis,G,pullup jump,14,25
Kobe Bryant,G,layup,25,6
Eric Gordon,G,3pt,24,32
Derek Fisher,G,layup,25,6
Kobe Bryant,G,jump,9,15
Chris Kaman,C,jump,38,7
Ron Artest,G,driving layup,25,6
Eric Gordon,G,layup,25,6
Marcus Camby,F-C,layup,25,6
Chris Kaman,C,layup,25,6
Al Thornton,F,jump,23,11
Ron Artest,G,3pt,50,13
Baron Davis,G,jump,26,21
Lamar Odom,F,hook,37,13
Eric Gordon,G,driving finger roll layup,25,6
Chris Kaman,C,jump,12,20
Rasual Butler,F,jump,7,10
Derek Fisher,G,3pt,49,6
Derek Fisher,G,jump,6,4
Ron Artest,G,jump,34,25
Andrew Bynum,C,layup,25,6
Kobe Bryant,G,layup,25,6
Kobe Bryant,G,tip,25,6
Baron Davis,G,3pt,40,30
Ron Artest,G,3pt,50,7
Andrew Bynum,C,layup,25,6
Chris Kaman,C,jump,25,22
Jordan Farmar,G,3pt,49,12
Rasual Butler,F,3pt,41,28
Sebastian Telfair,G,3pt,38,30
D.J. Mbenga,C,floating jump,21,12
D.J. Mbenga,C,jump,17,14
D.J. Mbenga,C,jump,25,24
Craig Smith,F,jump,11,16
DeAndre Jordan,C,layup,25,6
Luke Walton,F,jump,35,6
Josh Powell,F,turnaround jump,17,9
D.J. Mbenga,C,tip,25,6
Al Thornton,F,layup,25,9
Josh Powell,F,3pt,13,30
Rasual Butler,F,3pt,17,33
Derek Fisher,G,jump,12,19
Andrew Bynum,C,hook,26,13
Craig Smith,F,jump,16,11
Rasual Butler,F,jump,7,10
Andrew Bynum,C,alley oop layup,25,6
Chris Kaman,C,fade away jumper,19,17
Baron Davis,G,3pt,42,27
Lamar Odom,F,jump,43,18
Eric Gordon,G,jump,13,22
Baron Davis,G,jump,17,12
Derek Fisher,G,3pt,21,32
Ron Artest,G,3pt,47,13
Kobe Bryant,G,layup,25,6
Kobe Bryant,G,tip,25,6
Marcus Camby,F-C,jump,10,20
Kobe Bryant,G,jump,16,22
Lamar Odom,F,layup,25,6
Al Thornton,F,jump,16,18
Marcus Camby,F-C,jump,25,12
Al Thornton,F,floating jump,23,15
Derek Fisher,G,3pt,49,9
Andrew Bynum,C,jump,23,15
Chris Kaman,C,layup,25,6
Eric Gordon,G,fade away jumper,7,6
Kobe Bryant,G,driving layup,25,6
Marcus Camby,F-C,jump,34,23
Baron Davis,G,pullup jump,28,25
Kobe Bryant,G,jump,14,14
Baron Davis,G,layup,25,6
Kobe Bryant,G,jump,41,19
Andrew Bynum,C,hook,20,12
Marcus Camby,F-C,3pt,1,6
Lamar Odom,F,layup,25,6
Chris Kaman,C,jump,12,9
Eric Gordon,G,3pt,9,27
DeAndre Jordan,C,layup,25,6
Kobe Bryant,G,jump,22,14
Kobe Bryant,G,floating jump,31,8
Baron Davis,G,3pt,18,33
Lamar Odom,F,3pt,25,32
Jordan Farmar,G,driving finger roll layup,25,6
Al Thornton,F,jump,21,29
Ron Artest,G,3pt,2,10
Ron Artest,G,jump,29,9
Kobe Bryant,G,3pt,31,34
Sebastian Telfair,G,3pt,24,32
Chris Kaman,C,jump,26,22
Kobe Bryant,G,jump,11,9
Lamar Odom,F,3pt,14,29
Kobe Bryant,G,jump,39,14
Eric Gordon,G,3pt,47,12
Baron Davis,G,layup,25,6
Al Thornton,F,jump,18,6
Chris Kaman,C,jump,14,8
Lamar Odom,F,3pt,9,41
Craig Smith,F,3pt,41,39
Dirk Nowitzki,F,jump,31,23
Gilbert Arenas,G,3pt,1,11
Dirk Nowitzki,F,floating jump,34,14
Dirk Nowitzki,F,jump,31,17
Mike Miller,F,3pt,20,31
Brendan Haywood,C,layup,25,6
Dirk Nowitzki,F,3pt,36,29
Gilbert Arenas,G,3pt,11,26
Brendan Haywood,C,layup,25,6
Dirk Nowitzki,F,driving hook,24,12
Jason Terry,G,jump,39,23
Drew Gooden,F,turnaround fade away,16,9
Drew Gooden,F,jump,6,9
Brendan Haywood,C,layup,25,6
Caron Butler,F,3pt,41,26
Jason Kidd,G,3pt,17,29
Gilbert Arenas,G,floating jump,38,17
Brendan Haywood,C,hook,24,12
Gilbert Arenas,G,driving jump,25,12
Quinton Ross,F,3pt,47,8
Caron Butler,F,jump,38,21
Jose Juan Barea,G,jump,18,28
Andray Blatche,F-C,jump,42,9
Jason Terry,G,driving layup,25,6
Randy Foye,G,jump,26,28
Randy Foye,G,jump,10,13
Andray Blatche,F-C,driving layup,25,6
Dirk Nowitzki,F,3pt,14,28
Gilbert Arenas,G,floating jump,18,11
Shawn Marion,F,layup,25,6
Dirk Nowitzki,F,3pt,38,27
Jason Terry,G,3pt,48,9
Dirk Nowitzki,F,turnaround fade away,18,13
Drew Gooden,F,step back jump,32,11
Gilbert Arenas,G,3pt,33,30
Dirk Nowitzki,F,jump,41,10
Caron Butler,F,layup,25,6
Shawn Marion,F,turnaround jump,16,8
Brendan Haywood,C,jump,9,9
Shawn Marion,F,jump,34,9
Brendan Haywood,C,layup,25,6
Jason Terry,G,jump,15,15
Caron Butler,F,jump,28,12
Jason Terry,G,3pt,38,27
Shawn Marion,F,3pt,48,6
Caron Butler,F,jump,42,8
Gilbert Arenas,G,jump,8,20
Jason Terry,G,jump,20,9
Dirk Nowitzki,F,jump,28,25
Jason Terry,G,jump,20,12
Randy Foye,G,jump,18,9
Shawn Marion,F,running dunk,25,6
Dirk Nowitzki,F,jump,10,12
Randy Foye,G,3pt,12,27
Dirk Nowitzki,F,jump,37,10
Gilbert Arenas,G,jump,39,15
Caron Butler,F,jump,44,9
Caron Butler,F,driving jump,20,8
Jose Juan Barea,G,3pt,38,27
Jason Terry,G,3pt,3,19
Caron Butler,F,driving jump,21,8
Gilbert Arenas,G,jump,8,17
Gilbert Arenas,G,jump,9,14
Jason Terry,G,3pt,7,23
Caron Butler,F,3pt,25,66
Jason Kidd,G,3pt,41,24
Andray Blatche,F-C,turnaround jump,29,10
Jose Juan Barea,G,floating jump,40,18
DeShawn Stevenson,G-F,3pt,35,29
Andray Blatche,F-C,driving reverse layup,25,6
Randy Foye,G,3pt,12,28
Jason Kidd,G,3pt,6,22
Caron Butler,F,driving layup,25,6
Shawn Marion,F,jump,20,13
Drew Gooden,F,jump,11,8
DeShawn Stevenson,G-F,jump,15,25
Dirk Nowitzki,F,jump,11,14
Drew Gooden,F,tip,25,6
Jason Kidd,G,jump,27,29
Dirk Nowitzki,F,jump,31,15
Mike Miller,F,driving jump,28,11
Brendan Haywood,C,jump,18,9
Randy Foye,G,tip,25,6
Andray Blatche,F-C,jump,37,22
Jason Terry,G,jump,31,20
Andray Blatche,F-C,jump,42,9
Jose Juan Barea,G,layup,25,6
Gilbert Arenas,G,jump,40,12
Caron Butler,F,tip,25,6
Dirk Nowitzki,F,driving layup,25,6
Jason Terry,G,3pt,39,28
Gerald Wallace,F,jump,7,15
Ray Allen,G,3pt,47,7
Ray Allen,G,layup,26,5
Kendrick Perkins,C,jump,15,12
Raymond Felton,G,jump,22,9
Raymond Felton,G,jump,23,8
Stephen Graham,G-F,jump,12,23
Stephen Graham,G-F,layup,23,8
Ray Allen,G,jump,3,13
Stephen Graham,G-F,jump,45,14
Ray Allen,G,3pt,47,9
Raymond Felton,G,jump,19,16
Stephen Graham,G-F,jump,36,21
Gerald Wallace,F,jump,27,10
Paul Pierce,F,3pt,47,16
Marquis Daniels,F,layup,27,7
Marquis Daniels,F,layup,27,7
Stephen Graham,G-F,jump,12,20
Rasheed Wallace,G,3pt,25,30
Nazr Mohammed,C,reverse layup,23,7
Eddie House,G,3pt,2,7
Boris Diaw,F,3pt,13,28
Rasheed Wallace,G,3pt,13,75
Vladimir Radmanovic,F,3pt,36,27
Ray Allen,G,jump,43,5
Eddie House,G,3pt,22,31
Shelden Williams,F-C,jump,25,27
Ray Allen,G,layup,25,9
Rasheed Wallace,G,3pt,45,19
Paul Pierce,F,jump,27,9
Kendrick Perkins,C,hook,30,9
Gerald Henderson,G,jump,12,16
Paul Pierce,F,layup,23,7
Kendrick Perkins,C,layup,27,7
Raymond Felton,G,layup,24,6
Boris Diaw,F,jump,18,18
Kevin Garnett,F-C,turnaround fade away,41,7
Tyson Chandler,C,layup,23,5
Boris Diaw,F,jump,27,29
D.J. Augustin,G,jump,20,11
Paul Pierce,F,3pt,20,30
D.J. Augustin,G,3pt,2,8
Gerald Wallace,F,jump,20,8
Ray Allen,G,3pt,2,6
Kevin Garnett,F-C,turnaround bank,34,11
Vladimir Radmanovic,F,3pt,35,29
Nazr Mohammed,C,jump,17,13
Stephen Graham,G-F,jump,3,8
Kendrick Perkins,C,jump,25,13
Tyson Chandler,C,jump,29,22
Kevin Garnett,F-C,jump,14,24
Gerald Wallace,F,turnaround jump,11,17
Tyson Chandler,C,jump,19,23
D.J. Augustin,G,jump,38,16
Tyson Chandler,C,jump,25,15
Tyson Chandler,C,layup,24,8
Raymond Felton,G,3pt,49,13
Gerald Wallace,F,3pt,48,7
Kendrick Perkins,C,layup,24,7
Kevin Garnett,F-C,tip,25,7
Boris Diaw,F,jump,15,26
Ray Allen,G,3pt,2,6
Gerald Henderson,G,jump,25,11
Ray Allen,G,3pt,42,24
Gerald Wallace,F,layup,25,4
Ray Allen,G,3pt,2,6
Paul Pierce,F,jump,44,15
Ray Allen,G,jump,26,9
Raymond Felton,G,jump,26,22
Derrick Brown,F,layup,25,7
Marquis Daniels,F,3pt,46,19
Rajon Rondo,G,layup,26,7
Kendrick Perkins,C,hook,25,6
Derrick Brown,F,jump,40,4
Rasheed Wallace,G,3pt,8,29
Raymond Felton,G,jump,39,11
Eddie House,G,jump,13,25
Raymond Felton,G,jump,14,23
D.J. Augustin,G,3pt,7,23
Rasheed Wallace,G,3pt,44,21
Gerald Henderson,G,jump,25,22
Stephen Graham,G-F,jump,10,14
Stephen Graham,G-F,layup,25,6
Derrick Brown,F,layup,25,6
Derrick Brown,F,3pt,2,6
J.R. Giddens,G,3pt,2,9
Gerald Henderson,G,3pt,15,29
Eddie House,G,3pt,31,29
Marquis Daniels,F,jump,27,9
Lester Hudson,G,layup,24,6
Stephen Graham,G-F,3pt,24,30
Alexis Ajinca,C,jump,42,10
D.J. Augustin,G,jump,43,16
Derrick Brown,F,jump,43,12
Mo Williams,G,3pt,2,5
Anderson Varejao,C,turnaround fade away,24,12
Chris Bosh,C,jump hook,22,16
Chris Bosh,C,driving layup,25,6
Chris Bosh,C,jump hook,26,13
Jose Calderon,G,pullup jump,43,18
Anderson Varejao,C,jump,24,13
Anderson Varejao,C,jump,20,24
Shaquille O'Neal,C,tip,25,6
Anderson Varejao,C,turnaround jump,23,14
LeBron James,F,pullup jump,34,25
Mo Williams,G,pullup jump,18,24
Anthony Parker,G,jump,41,19
Shaquille O'Neal,C,hook,16,9
Shaquille O'Neal,C,layup,25,6
Andrea Bargnani,F-C,3pt,41,25
Antoine Wright,F,3pt,46,20
Andrea Bargnani,F-C,driving dunk,25,6
Zydrunas Ilgauskas,C,jump,45,7
Hedo Turkoglu,F,3pt,44,21
J.J. Hickson,F-C,layup,25,6
LeBron James,F,layup,25,6
Chris Bosh,C,step back jump,40,6
Daniel Gibson,G,jump,38,24
Jarrett Jack,G,driving layup,25,6
Chris Bosh,C,tip,25,6
Antoine Wright,F,pullup jump,13,14
Daniel Gibson,G,3pt,31,30
Jose Calderon,G,jump,12,21
Zydrunas Ilgauskas,C,turnaround fade away,37,7
Daniel Gibson,G,driving layup,25,6
DeMar DeRozan,G,3pt,9,82
Jamario Moon,F,jump,10,22
Mo Williams,G,driving layup,25,6
Mo Williams,G,tip,25,6
Shaquille O'Neal,C,layup,25,6
DeMar DeRozan,G,jump,37,22
Zydrunas Ilgauskas,C,jump,40,8
Mo Williams,G,driving layup,25,6
Jarrett Jack,G,pullup jump,17,26
Jamario Moon,F,3pt,22,31
Marco Belinelli,G,pullup jump,17,26
Anthony Parker,G,pullup jump,40,13
Andrea Bargnani,F-C,pullup jump,17,27
LeBron James,F,floating jump,28,14
Hedo Turkoglu,F,3pt,31,30
Mo Williams,G,jump,35,20
Anthony Parker,G,jump,8,18
LeBron James,F,3pt,36,28
Anthony Parker,G,3pt,48,6
Daniel Gibson,G,3pt,48,7
LeBron James,F,turnaround fade away,6,5
Marco Belinelli,G,reverse layup,25,6
LeBron James,F,driving layup,25,6
Jose Calderon,G,driving layup,25,6
Chris Bosh,C,jump,8,8
Chris Bosh,C,jump,37,14
Jose Calderon,G,3pt,10,27
LeBron James,F,3pt,40,27
Anthony Parker,G,pullup jump,40,18
Mo Williams,G,turnaround fade away,22,15
Hedo Turkoglu,F,3pt,7,25
Chris Bosh,C,jump,26,13
