Luke Walton,F,jump,33,9
Kobe Bryant,G,jump,20,27
Yao Ming,C,jump,11,17
Ronny Turiaf,C,jump,14,18
Shane Battier,F,3pt,1,8
Luke Walton,F,jump,31,14
Yao Ming,C,jump,24,23
Shane Battier,F,3pt,1,8
Kobe Bryant,G,layup,25,6
Tracy McGrady,G-F,jump,39,7
Shane Battier,F,jump,29,8
Derek Fisher,G,3pt,11,27
Rafer Alston,G,3pt,40,28
Tracy McGrady,G-F,jump,40,8
Yao Ming,C,hook,28,14
Kobe Bryant,G,3pt,13,30
Tracy McGrady,G-F,jump,39,21
Kobe Bryant,G,jump,30,9
Tracy McGrady,G-F,jump,8,12
Kobe Bryant,G,jump,14,22
Shane Battier,F,jump,38,19
Shane Battier,F,jump,21,10
Tracy McGrady,G-F,jump,20,9
Jordan Farmar,G,jump,17,23
Bonzi Wells,G-F,3pt,18,61
Kobe Bryant,G,jump,10,13
Andrew Bynum,C,hook,25,6
Maurice Evans,G-F,jump,21,13
Kobe Bryant,G,layup,25,6
Luther Head,F,jump,40,10
Jordan Farmar,G,jump,10,14
Brian Cook,F-C,turnaround hook,28,7
Bonzi Wells,G-F,jump,24,22
Brian Cook,F-C,jump,28,11
Mike James,G,jump,33,13
Luther Head,F,3pt,2,7
Kobe Bryant,G,jump,9,10
Kobe Bryant,G,layup,25,6
Mike James,G,3pt,40,29
Kwame Brown,C,jump,28,10
Yao Ming,C,dunk,25,6
Tracy McGrady,G-F,3pt,23,32
Kobe Bryant,G,layup,25,6
Luke Walton,F,tip,25,6
Kobe Bryant,G,jump,32,23
Rafer Alston,G,3pt,48,17
Ronny Turiaf,C,jump,20,22
Rafer Alston,G,3pt,42,27
Kobe Bryant,G,jump,33,20
Shane Battier,F,3pt,40,30
Kobe Bryant,G,layup,25,6
Tracy McGrady,G-F,jump,11,22
Kobe Bryant,G,jump,17,19
Derek Fisher,G,layup,25,6
Chris Mihm,C,jump,20,14
Tracy McGrady,G-F,3pt,17,32
Rafer Alston,G,layup,25,9
Tracy McGrady,G-F,3pt,0,7
Luke Walton,F,jump,40,7
Andrew Bynum,C,jump,23,11
Andrew Bynum,C,jump,20,18
Tracy McGrady,G-F,3pt,19,32
Mike James,G,jump,25,28
Mike James,G,layup,25,6
Kobe Bryant,G,jump,37,23
Maurice Evans,G-F,layup,25,6
Mike James,G,3pt,14,31
Jordan Farmar,G,jump,38,22
Chris Mihm,C,tip,25,6
Shane Battier,F,3pt,11,27
Andrew Bynum,C,jump,35,21
Kobe Bryant,G,jump,38,21
Maurice Evans,G-F,3pt,48,21
Yao Ming,C,jump,33,23
Kobe Bryant,G,layup,27,8
Yao Ming,C,turnaround jump,28,11
Kobe Bryant,G,running jump,28,9
Yao Ming,C,hook,23,15
Bonzi Wells,G-F,jump,6,11
Bonzi Wells,G-F,layup,25,6
Rafer Alston,G,3pt,18,32
Luke Walton,F,3pt,27,31
Derek Fisher,G,3pt,48,7
Kobe Bryant,G,3pt,10,28
Michael Finley,G-F,jump,13,20
Brandon Roy,G,jump,22,24
Martell Webster,G-F,3pt,48,6
Jarrett Jack,G,jump,29,10
Tony Parker,G,jump,36,14
Martell Webster,G-F,layup,23,7
LaMarcus Aldridge,F,jump,17,24
LaMarcus Aldridge,F,jump bank hook,18,8
Jarrett Jack,G,jump,29,12
Brandon Roy,G,jump,42,7
Tim Duncan,F,jump,13,10
Manu Ginobili,G,jump,26,17
Martell Webster,G-F,jump,13,24
Tim Duncan,F,layup,26,9
Brandon Roy,G,jump,37,20
Tim Duncan,F,jump,36,13
Travis Outlaw,F,jump,6,11
Matt Bonner,F-C,jump,11,9
Manu Ginobili,G,3pt,35,29
Francisco Elson,G-F,jump,33,23
Sergio Rodriguez,G,3pt,44,22
Francisco Elson,G-F,jump,36,20
Travis Outlaw,F,jump,39,8
Travis Outlaw,F,jump,36,9
Channing Frye,F,jump,32,8
Brent Barry,G,3pt,35,30
Brent Barry,G,3pt,46,20
Brent Barry,G,3pt,5,20
Steve Blake,G,3pt,7,22
Brandon Roy,G,jump,37,18
Jarrett Jack,G,jump,14,23
Jarrett Jack,G,layup,25,9
Michael Finley,G-F,3pt,37,28
LaMarcus Aldridge,F,jump,13,11
Bruce Bowen,F,3pt,2,8
Michael Finley,G-F,jump,44,17
Bruce Bowen,F,3pt,2,8
Martell Webster,G-F,3pt,47,18
