Shaquille O'Neal,C,hook,22,11
P.J. Brown,F-C,jump,24,9
Kirk Hinrich,G,jump,8,19
Shaquille O'Neal,C,turnaround jump,18,12
Ben Gordon,G,jump,1,5
Antoine Walker,F,jump,42,22
Kirk Hinrich,G,jump,42,23
Ben Gordon,G,driving layup,25,6
Luol Deng,F,jump,8,8
Udonis Haslem,F,jump,33,21
Udonis Haslem,F,jump,13,20
Ben Gordon,G,jump,20,15
Dwyane Wade,G,jump,40,8
Kirk Hinrich,G,jump,38,19
Antoine Walker,F,jump,2,19
Ben Gordon,G,jump,24,26
Ben Gordon,G,driving layup,25,6
Andres Nocioni,F,jump,16,22
Chris Duhon,G,jump,39,22
Alonzo Mourning,C,hook,23,11
Ben Gordon,G,jump,17,12
Udonis Haslem,F,turnaround jump,23,20
Andres Nocioni,F,jump,4,22
Udonis Haslem,F,jump,22,14
Gary Payton,G,jump,37,21
Kirk Hinrich,G,jump,36,28
Chris Quinn,G,jump,26,50
Andres Nocioni,F,jump,30,18
Shaquille O'Neal,C,hook,28,10
Luol Deng,F,driving layup,25,6
Antoine Walker,F,jump,48,6
Shaquille O'Neal,C,hook,24,12
Gary Payton,G,jump,29,30
Kirk Hinrich,G,jump,12,15
Shaquille O'Neal,C,hook,23,13
Udonis Haslem,F,driving layup,25,6
Gary Payton,G,jump,40,25
Dwyane Wade,G,jump,32,21
Antoine Walker,F,jump,4,23
Chris Quinn,G,jump,35,19
Viktor Khryapa,G,jump,19,25
Luol Deng,F,running jump,22,11
Dwyane Wade,G,jump,44,21
Kirk Hinrich,G,driving layup,25,6
Ben Wallace,F-C,dunk,25,6
Kirk Hinrich,G,jump,45,7
Luol Deng,F,jump,11,21
Ben Gordon,G,jump,44,21
Udonis Haslem,F,jump,13,16
Ben Wallace,F-C,layup,25,6
Ben Wallace,F-C,layup,25,6
Antoine Walker,F,jump,6,23
Luol Deng,F,jump,41,19
Shaquille O'Neal,C,hook,26,13
Ben Gordon,G,driving layup,25,6
Tyrus Thomas,F,jump,37,22
Shaquille O'Neal,C,hook,22,14
Dwyane Wade,G,jump bank,34,15
Andres Nocioni,F,jump,43,24
Kirk Hinrich,G,driving layup,25,6
Gary Payton,G,jump,48,10
Antoine Walker,F,jump,7,24
Dwyane Wade,G,jump,46,6
Malik Allen,F,turnaround jump,11,6
Alonzo Mourning,C,jump,28,11
Malik Allen,F,jump,5,9
Tyrus Thomas,F,jump,13,8
Chris Quinn,G,running jump,27,10
Tyrus Thomas,F,layup,25,6
Malik Allen,F,turnaround jump,12,20
Chris Quinn,G,jump,48,10
Viktor Khryapa,G,jump,5,6
Dorell Wright,F,driving finger roll,25,6
Adrian Griffin,G-F,jump,4,6
Robert Hite,G,jump,5,22
Malik Allen,F,jump,18,17
Robert Hite,G,jump,35,7
Dorell Wright,F,jump,45,7
Robert Hite,G,jump,23,31
Dorell Wright,F,jump,38,22
Lamar Odom,F,jump,30,31
Andrew Bynum,C,jump,27,20
Lamar Odom,F,jump,41,6
Sasha Vujacic,G-F,jump,32,30
Lamar Odom,F,jump,23,13
Raja Bell,G,jump,17,31
Lamar Odom,F,jump,35,7
Raja Bell,G,jump,17,23
Sasha Vujacic,G-F,jump,7,24
Steve Nash,G,jump,48,14
Leandro Barbosa,G,reverse layup,25,6
Ronny Turiaf,C,layup,25,6
Luke Walton,F,jump,30,13
Marcus Banks,G,jump,9,26
Vladimir Radmanovic,F,jump,13,22
James Jones,F,jump,16,25
James Jones,F,jump,44,18
Brian Cook,F-C,layup,25,6
Lamar Odom,F,layup,25,6
Brian Cook,F-C,jump,8,12
James Jones,F,jump,2,13
Steve Nash,G,jump,42,14
Shawn Marion,F,alley oop layup,25,6
Steve Nash,G,jump,13,28
Sasha Vujacic,G-F,jump,40,27
James Jones,F,layup,25,6
Shawn Marion,F,jump,48,3
Raja Bell,G,jump,24,20
Brian Cook,F-C,jump,26,12
Smush Parker,G,jump,41,10
Lamar Odom,F,layup,25,6
Raja Bell,G,jump,48,9
Sasha Vujacic,G-F,jump,42,24
Shawn Marion,F,jump,40,10
Kurt Thomas,G,jump,17,23
Andrew Bynum,C,jump,31,15
Maurice Evans,G-F,layup,25,6
Raja Bell,G,jump,34,29
Steve Nash,G,jump,27,15
Steve Nash,G,jump,26,15
Lamar Odom,F,jump,24,11
Shawn Marion,F,jump,37,29
Lamar Odom,F,layup,25,6
Raja Bell,G,jump,16,30
Maurice Evans,G-F,jump,34,20
Andrew Bynum,C,jump,28,9
Leandro Barbosa,G,jump,39,18
Lamar Odom,F,layup,25,6
Andrew Bynum,C,tip,25,6
Steve Nash,G,layup,23,5
Leandro Barbosa,G,jump,2,5
Lamar Odom,F,jump,16,8
Shawn Marion,F,hook,32,9
Lamar Odom,F,layup,25,6
Leandro Barbosa,G,jump,32,30
Vladimir Radmanovic,F,jump,23,13
Vladimir Radmanovic,F,jump,33,7
James Jones,F,jump,11,17
Leandro Barbosa,G,layup,25,6
Marcus Banks,G,jump,31,31
Steve Nash,G,jump,24,18
Steve Nash,G,jump,13,7
Smush Parker,G,jump,16,7
Shawn Marion,F,layup,25,6
Shawn Marion,F,jump,12,28
Luke Walton,F,layup,25,6
Shawn Marion,F,jump,30,31
Luke Walton,F,jump,15,6
Maurice Evans,G-F,jump,25,27
Raja Bell,G,jump,48,18
Maurice Evans,G-F,jump,38,7
Maurice Evans,G-F,jump,21,32
Steve Nash,G,jump,19,31
Lamar Odom,F,running hook,32,6
Joe Johnson,G-F,jump,22,30
Shelden Williams,F-C,jump,7,4
Joe Johnson,G-F,layup,25,6
Allen Iverson,G,layup,25,6
Andre Iguodala,G-F,jump,27,5
Speedy Claxton,G,layup,25,6
Speedy Claxton,G,jump,18,14
Josh Smith,F,jump,11,31
Chris Webber,C,layup,25,6
Zaza Pachulia,C,jump,19,8
Zaza Pachulia,C,layup,25,6
Kevin Ollie,G,jump,21,18
Joe Johnson,G-F,jump,1,19
Allen Iverson,G,jump,17,16
Zaza Pachulia,C,layup,25,6
Andre Iguodala,G-F,jump,4,23
Chris Webber,C,jump,22,10
Chris Webber,C,jump,30,15
Allen Iverson,G,jump,16,31
Chris Webber,C,jump,32,5
Chris Webber,C,hook,28,7
Joe Johnson,G-F,jump,23,20
Josh Smith,F,jump,23,28
Solomon Jones,G,layup,25,6
Willie Green,G,jump,22,11
Zaza Pachulia,C,jump,29,17
Kyle Korver,G,jump,13,29
Joe Johnson,G-F,layup,26,8
Joe Johnson,G-F,layup,25,6
Speedy Claxton,G,jump,24,14
Salim Stoudamire,G,jump,21,31
Salim Stoudamire,G,jump,6,25
Josh Childress,F,layup,25,6
Willie Green,G,jump,44,22
Willie Green,G,jump,20,32
Willie Green,G,jump,5,22
Joe Johnson,G-F,jump,35,31
Joe Johnson,G-F,jump,26,12
Chris Webber,C,hook,28,5
Josh Childress,F,jump,18,8
