Monta Ellis,G,driving layup,28,7
Carlos Boozer,F,jump,24,23
Mickael Pietrus,F,3pt,47,5
Carlos Boozer,F,running jump,23,10
Deron Williams,G,jump,32,27
Baron Davis,G,driving layup,23,8
Kelenna Azubuike,G,driving layup,23,6
Andrei Kirilenko,F,putback layup,25,8
Baron Davis,G,driving finger roll layup,22,8
Ronnie Brewer,F,layup,23,7
Kelenna Azubuike,G,driving slam dunk,23,5
Ronnie Brewer,F,layup,23,7
Carlos Boozer,F,finger roll layup,26,8
Deron Williams,G,running jump,27,10
Ronnie Brewer,F,dunk,25,6
Ronnie Brewer,F,dunk,25,7
Carlos Boozer,F,jump,30,21
Carlos Boozer,F,layup,25,6
Paul Millsap,F,jump,30,8
Baron Davis,G,driving layup,23,7
Kelenna Azubuike,G,3pt,49,4
Paul Millsap,F,layup,23,8
Al Harrington,F,driving finger roll layup,26,9
Paul Millsap,F,slam dunk,26,6
Deron Williams,G,layup,22,7
Paul Millsap,F,slam dunk,24,6
Al Harrington,F,running jump,23,9
Deron Williams,G,running jump,27,13
Gordan Giricek,G,3pt,18,30
Monta Ellis,G,jump,24,24
Andrei Kirilenko,F,putback dunk,25,6
Kelenna Azubuike,G,driving finger roll layup,23,9
Carlos Boozer,F,fade away jumper,34,11
Ronnie Brewer,F,driving reverse layup,24,8
Carlos Boozer,F,driving layup,27,8
Monta Ellis,G,driving finger roll layup,26,9
Carlos Boozer,F,jump hook,22,10
Al Harrington,F,jump,15,21
Mickael Pietrus,F,3pt,1,3
Baron Davis,G,layup,27,8
Mickael Pietrus,F,fade away jumper,33,21
Mickael Pietrus,F,slam dunk,25,7
Carlos Boozer,F,running jump,30,9
Baron Davis,G,driving layup,23,8
Deron Williams,G,3pt,19,31
Mickael Pietrus,F,3pt,19,31
Ronnie Brewer,F,layup,23,8
Carlos Boozer,F,jump,27,9
Mickael Pietrus,F,layup,25,6
Carlos Boozer,F,turnaround fade away,16,10
Ronnie Brewer,F,fade away jumper,20,24
Al Harrington,F,jump,22,7
Ronnie Brewer,F,slam dunk,24,6
Paul Millsap,F,jump,30,8
Deron Williams,G,3pt,18,32
Andris Biedrins,F,turnaround hook,28,9
Monta Ellis,G,driving layup,27,7
Gordan Giricek,G,3pt,5,21
Gordan Giricek,G,jump,5,6
Paul Millsap,F,driving layup,24,7
Baron Davis,G,running jump,26,9
Deron Williams,G,3pt,36,29
Marco Belinelli,G,3pt,41,25
Marco Belinelli,G,3pt,49,12
Deron Williams,G,turnaround jump,37,20
Baron Davis,G,driving finger roll layup,26,8
Andrei Kirilenko,F,slam dunk,25,6
Troy Hudson,F,jump,43,7
Patrick O'Bryant,C,turnaround hook,36,6
Carlos Boozer,F,running reverse layup,23,7
Matt Barnes,F,running layup,26,8
Jason Hart,G,running jump,15,11
Ben Gordon,G,jump,13,20
Kirk Hinrich,G,jump,9,8
Richard Jefferson,F,jump,25,25
Kirk Hinrich,G,jump,41,16
Luol Deng,F,layup,25,6
Nenad Krstic,C,jump,26,25
Vince Carter,G-F,reverse layup,25,6
Luol Deng,F,jump,40,15
Ben Wallace,F-C,layup,25,6
Ben Wallace,F-C,turnaround jump,24,15
Nenad Krstic,C,jump,26,24
Vince Carter,G-F,driving layup,25,6
Bostjan Nachbar,F,jump,15,24
Chris Duhon,G,3pt,3,10
Darrell Armstrong,G,3pt,2,6
Antoine Wright,F,jump,40,18
Antoine Wright,F,3pt,43,23
Kirk Hinrich,G,pullup jump,41,8
Richard Jefferson,F,3pt,2,6
Nenad Krstic,C,jump,16,21
Tyrus Thomas,F,slam dunk,25,6
Malik Allen,F,putback layup,25,6
Luol Deng,F,driving layup,25,6
Ben Gordon,G,driving layup,25,6
Nenad Krstic,C,layup,25,6
Luol Deng,F,jump,27,11
Richard Jefferson,F,running hook,14,9
Luol Deng,F,reverse layup,25,6
Bostjan Nachbar,F,dunk,25,6
Thabo Sefolosha,G,jump,22,26
Richard Jefferson,F,driving dunk,25,6
Kirk Hinrich,G,3pt,39,26
Ben Gordon,G,3pt,12,29
Jason Kidd,G,driving finger roll layup,25,6
Ben Gordon,G,pullup jump,43,14
Nenad Krstic,C,driving layup,25,6
Ben Gordon,G,3pt,46,20
Ben Gordon,G,jump,43,14
Chris Duhon,G,3pt,26,32
Luol Deng,F,dunk,25,6
Ben Gordon,G,3pt,7,22
Jason Kidd,G,jump,6,7
Joe Smith,F-C,jump,39,17
Chris Duhon,G,driving layup,25,6
Ben Gordon,G,jump,24,25
Antoine Wright,F,jump,9,12
Joe Smith,F-C,jump,35,22
Bostjan Nachbar,F,3pt,32,30
Andres Nocioni,F,jump,11,7
Vince Carter,G-F,floating jump,18,19
Chris Duhon,G,driving layup,25,6
Antoine Wright,F,layup,25,6
Kirk Hinrich,G,3pt,49,7
Richard Jefferson,F,3pt,2,6
Luol Deng,F,driving layup,25,6
Luol Deng,F,driving dunk,25,6
Antoine Wright,F,3pt,3,8
Vince Carter,G-F,driving layup,25,6
Vince Carter,G-F,tip,25,6
Antoine Wright,F,3pt,35,30
Kirk Hinrich,G,floating jump,30,12
Luol Deng,F,putback layup,25,6
Andres Nocioni,F,3pt,40,26
Antoine Wright,F,3pt,48,6
Andres Nocioni,F,jump,37,18
Antoine Wright,F,driving layup,25,6
Andres Nocioni,F,layup,25,6
Vince Carter,G-F,alley oop layup,25,6
Ben Wallace,F-C,dunk,25,6
Richard Jefferson,F,running jump,12,8
Richard Jefferson,F,3pt,14,30
Devin Harris,G,layup,25,6
Daniel Gibson,G,jump,42,22
DeSagana Diop,C,jump hook,26,16
Jerry Stackhouse,F,layup,26,7
Zydrunas Ilgauskas,C,hook,30,8
Devin Harris,G,layup,24,8
DeSagana Diop,C,dunk,25,8
Zydrunas Ilgauskas,C,jump,12,20
DeSagana Diop,C,dunk,24,6
Zydrunas Ilgauskas,C,jump,29,24
Dirk Nowitzki,F,jump,39,20
Jason Terry,G,3pt,37,28
Zydrunas Ilgauskas,C,tip,25,7
Drew Gooden,F,dunk,24,7
DeSagana Diop,C,layup,25,6
Dirk Nowitzki,F,layup,25,7
Jason Terry,G,layup,25,7
Devin Brown,G,layup,24,7
Jason Terry,G,3pt,42,25
Devin Brown,G,driving finger roll layup,25,7
Devin Harris,G,driving layup,27,6
Brandon Bass,F,layup,24,7
Daniel Gibson,G,layup,24,7
Dwayne Jones,F-C,layup,24,5
Jerry Stackhouse,F,turnaround jump,12,9
Jerry Stackhouse,F,slam dunk,25,6
Zydrunas Ilgauskas,C,tip,24,5
Dirk Nowitzki,F,fade away bank,13,9
Drew Gooden,F,turnaround jump,39,10
Larry Hughes,F,layup,25,7
Jerry Stackhouse,F,3pt,49,7
Zydrunas Ilgauskas,C,turnaround jump,13,10
Dirk Nowitzki,F,jump,8,7
Zydrunas Ilgauskas,C,tip,24,6
Eddie Jones,G-F,3pt,49,9
Larry Hughes,F,driving layup,23,6
Dirk Nowitzki,F,driving layup,26,8
Dirk Nowitzki,F,driving reverse layup,24,7
Zydrunas Ilgauskas,C,layup,25,5
LeBron James,F,running bank hook,16,10
Jason Terry,G,3pt,43,25
Trenton Hassell,G-F,jump,38,20
Drew Gooden,F,hook,16,8
Damon Jones,G,3pt,9,27
Damon Jones,G,3pt,8,24
Trenton Hassell,G-F,jump,43,7
Donyell Marshall,F,3pt,48,10
Devin Harris,G,driving layup,25,6
Damon Jones,G,driving layup,25,7
Jason Terry,G,3pt,49,13
Devin Harris,G,3pt,43,34
Donyell Marshall,F,layup,26,6
Jerry Stackhouse,F,jump,34,28
Jason Terry,G,3pt,39,27
Eddie Jones,G-F,jump,31,18
Jason Terry,G,3pt,2,17
Drew Gooden,F,jump,25,27
Daniel Gibson,G,jump,5,13
LeBron James,F,driving finger roll layup,25,6
Drew Gooden,F,jump,10,7
Jerry Stackhouse,F,jump,34,11
Rashard Lewis,F,fade away jumper,37,8
Michael Redd,G,jump,35,20
Jameer Nelson,G,jump,24,25
Michael Redd,G,jump,24,19
Yi Jianlian,F,jump,13,24
Rashard Lewis,F,jump,12,15
Rashard Lewis,F,driving layup,25,6
Keith Bogans,G-F,3pt,41,26
Michael Redd,G,jump,8,10
Hedo Turkoglu,F,driving slam dunk,25,6
Michael Redd,G,jump,11,5
Mo Williams,G,jump,41,14
Michael Redd,G,layup,25,6
Rashard Lewis,F,jump bank,9,8
Dwight Howard,C,jump hook,29,11
Desmond Mason,F,layup,25,6
Pat Garrity,F,jump,34,26
Desmond Mason,F,jump,16,6
Mo Williams,G,layup,25,6
Mo Williams,G,jump,44,15
Bobby Simmons,F,jump,6,11
Hedo Turkoglu,F,3pt,10,27
Bobby Simmons,F,jump,39,20
Bobby Simmons,F,layup,25,6
Dwight Howard,C,slam dunk,25,6
Bobby Simmons,F,3pt,15,31
Rashard Lewis,F,3pt,19,30
Charlie Bell,G,jump,10,16
Andrew Bogut,C,hook,24,13
Charlie Bell,G,3pt,4,21
Hedo Turkoglu,F,jump,24,22
Hedo Turkoglu,F,jump,40,23
Rashard Lewis,F,layup,25,6
Michael Redd,G,fade away jumper,37,11
Yi Jianlian,F,jump,12,18
Hedo Turkoglu,F,driving layup,25,6
Dwight Howard,C,layup,25,6
Michael Redd,G,jump,11,19
Andrew Bogut,C,jump,38,6
Dwight Howard,C,layup,25,6
Mo Williams,G,3pt,7,23
Rashard Lewis,F,3pt,12,28
Hedo Turkoglu,F,3pt,25,32
Charlie Villanueva,F,layup,25,6
Hedo Turkoglu,F,3pt,48,5
Keith Bogans,G-F,3pt,1,4
Rashard Lewis,F,3pt,47,4
Michael Redd,G,jump,37,22
Rashard Lewis,F,3pt,4,21
Keyon Dooling,G,3pt,48,6
Jameer Nelson,G,layup,25,6
Hedo Turkoglu,F,driving layup,25,6
Keyon Dooling,G,driving layup,25,6
Yi Jianlian,F,fade away jumper,11,11
Carlos Arroyo,G,3pt,27,32
Charlie Bell,G,jump,45,8
Adonal Foyle,C,layup,25,6
Bobby Simmons,F,jump,11,18
Adonal Foyle,C,layup,25,6
Bobby Simmons,F,3pt,44,23
Desmond Mason,F,alley oop dunk,25,6
Yi Jianlian,F,jump,22,27
Carlos Arroyo,G,3pt,42,23
Royal Ivey,F,driving layup,25,6
Bobby Simmons,F,jump,10,13
Andrea Bargnani,F-C,jump,37,9
Samuel Dalembert,C,jump,18,18
Andre Miller,G,driving layup,25,6
Jason Kapono,C,driving layup,25,6
Reggie Evans,F,layup,25,6
Andrea Bargnani,F-C,3pt,45,22
Willie Green,G,layup,25,6
T.J. Ford,F,finger roll layup,25,6
Anthony Parker,G,3pt,40,27
Chris Bosh,C,jump,40,20
Andre Iguodala,G-F,jump,37,21
Kris Humphries,F,putback slam dunk,25,6
Anthony Parker,G,jump,40,23
Jason Kapono,C,jump,7,14
Kyle Korver,G,jump,14,20
Rasho Nesterovic,C,tip,25,6
Andre Miller,G,driving layup,25,6
Willie Green,G,driving layup,25,6
Rasho Nesterovic,C,layup,25,6
Jose Calderon,G,3pt,40,26
Louis Williams,G,driving layup,25,6
Juan Dixon,G,jump,41,19
Willie Green,G,running layup,25,6
Juan Dixon,G,jump,35,6
Rodney Carney,F,pullup jump,10,16
Jose Calderon,G,driving layup,25,6
Jason Smith,F-C,floating jump,25,6
Rodney Carney,F,driving dunk,25,6
Jose Calderon,G,driving layup,25,6
Jason Smith,F-C,jump,42,6
Jose Calderon,G,running jump,29,21
Willie Green,G,3pt,32,30
Chris Bosh,C,alley oop dunk,25,6
Kyle Korver,G,3pt,12,29
Kyle Korver,G,jump,36,23
