LeBron James,F,pullup jump,39,20
Paul Pierce,F,slam dunk,26,6
Kevin Garnett,F-C,slam dunk,25,6
Zydrunas Ilgauskas,C,driving layup,25,8
Delonte West,G,jump,36,19
Mo Williams,G,3pt,40,26
Mo Williams,G,jump,41,13
Paul Pierce,F,driving reverse layup,25,7
Paul Pierce,F,driving layup,24,7
LeBron James,F,alley oop layup,24,5
Paul Pierce,F,driving layup,26,5
Leon Powe,F,layup,24,6
Kevin Garnett,F-C,turnaround fade away,37,6
Leon Powe,F,layup,25,7
Wally Szczerbiak,G-F,jump,31,24
LeBron James,F,dunk,25,7
Kevin Garnett,F-C,jump,32,17
Anderson Varejao,C,reverse layup,25,7
Paul Pierce,F,step back jump,25,20
Eddie House,G,jump,28,24
Tony Allen,G-F,driving layup,25,8
Lorenzen Wright,F-C,jump,8,9
Daniel Gibson,G,layup,26,6
Daniel Gibson,G,layup,24,6
Glen Davis,F-C,reverse layup,25,6
Sasha Pavlovic,G-F,driving layup,25,6
Rajon Rondo,G,layup,25,6
Paul Pierce,F,jump,27,26
LeBron James,F,alley oop dunk,25,5
Ray Allen,G,jump,16,24
Delonte West,G,step back jump,16,19
Rajon Rondo,G,driving layup,25,6
Paul Pierce,F,3pt,42,24
Ben Wallace,F-C,dunk,26,6
Ray Allen,G,3pt,42,24
Kendrick Perkins,C,layup,25,6
Rajon Rondo,G,layup,24,6
Zydrunas Ilgauskas,C,layup,25,6
Mo Williams,G,3pt,45,20
Kevin Garnett,F-C,jump,41,12
Leon Powe,F,layup,25,6
LeBron James,F,driving layup,25,6
LeBron James,F,driving layup,25,6
LeBron James,F,jump,15,26
Paul Pierce,F,3pt,25,32
Paul Pierce,F,jump,15,22
Sasha Pavlovic,G-F,fade away jumper,31,15
Paul Pierce,F,driving layup,25,6
Tony Allen,G-F,running jump,25,12
Sasha Pavlovic,G-F,jump,13,23
Tony Allen,G-F,driving layup,25,6
Leon Powe,F,slam dunk,25,5
Anderson Varejao,C,layup,25,6
Tony Allen,G-F,fade away jumper,33,8
Anderson Varejao,C,layup,24,8
LeBron James,F,layup,25,6
Rajon Rondo,G,layup,25,6
Zydrunas Ilgauskas,C,jump,10,19
