Anderson Varejao,C,step back jump,21,15
LeBron James,F,jump,12,25
Kevin Garnett,F-C,running hook,21,14
Anderson Varejao,C,jump,22,14
LeBron James,F,alley oop layup,25,7
Mo Williams,G,jump,26,22
Anthony Parker,G,3pt,48,10
Paul Pierce,F,dunk,25,7
Shaquille O'Neal,C,jump,25,12
Shaquille O'Neal,C,jump hook,28,12
Rajon Rondo,G,jump,38,26
Shaquille O'Neal,C,turnaround bank,20,12
Rajon Rondo,G,running jump,26,10
Paul Pierce,F,3pt,40,26
LeBron James,F,3pt,42,35
Kevin Garnett,F-C,layup,25,6
LeBron James,F,layup,25,7
Rasheed Wallace,G,3pt,35,30
Daniel Gibson,G,running jump,20,9
Marquis Daniels,F,running bank,19,12
Eddie House,G,3pt,30,30
Ray Allen,G,layup,26,8
Rasheed Wallace,G,3pt,8,27
Anderson Varejao,C,jump,34,23
Marquis Daniels,F,layup,25,7
Ray Allen,G,driving layup,25,7
LeBron James,F,layup,25,7
Paul Pierce,F,3pt,2,7
Jamario Moon,F,alley oop dunk,24,7
Shaquille O'Neal,C,layup,25,6
Ray Allen,G,3pt,4,22
Anthony Parker,G,floating jump,27,13
Kendrick Perkins,C,jump,41,10
Ray Allen,G,3pt,2,15
Kendrick Perkins,C,driving layup,25,8
LeBron James,F,jump,40,20
Kendrick Perkins,C,jump,11,9
Rajon Rondo,G,reverse layup,24,7
Kevin Garnett,F-C,jump,26,12
Shaquille O'Neal,C,dunk,25,8
Anthony Parker,G,3pt,2,8
Rajon Rondo,G,layup,25,7
Mo Williams,G,running bank,38,11
Kevin Garnett,F-C,turnaround jump,37,14
Mo Williams,G,running jump,30,14
Ray Allen,G,jump,41,7
LeBron James,F,3pt,2,6
LeBron James,F,driving layup,24,8
Rasheed Wallace,G,jump,6,7
LeBron James,F,jump,9,15
Marquis Daniels,F,3pt,48,9
Rasheed Wallace,G,3pt,12,27
Zydrunas Ilgauskas,C,jump,45,7
Kendrick Perkins,C,layup,24,7
LeBron James,F,3pt,13,30
Paul Pierce,F,jump,32,21
Kevin Garnett,F-C,turnaround bank,36,13
Paul Pierce,F,jump,33,22
Paul Pierce,F,jump,15,22
LeBron James,F,dunk,26,6
LeBron James,F,3pt,24,31
LaMarcus Aldridge,F,turnaround fade away,35,11
