Dwyane Wade,G,jump bank,34,16
Luol Deng,F,running dunk,25,6
Dwyane Wade,G,jump,10,17
Dwyane Wade,G,jump bank,41,18
P.J. Brown,F-C,jump,34,19
Kirk Hinrich,G,jump,16,19
Gary Payton,G,jump,47,4
Kirk Hinrich,G,driving layup,25,6
Dwyane Wade,G,jump,45,19
Antoine Walker,F,jump,28,7
Andres Nocioni,F,driving layup,25,6
Luol Deng,F,jump,5,7
Andres Nocioni,F,hook,27,14
Antoine Walker,F,driving layup,25,6
Kirk Hinrich,G,jump,47,21
Chris Duhon,G,driving layup,25,6
Luol Deng,F,jump,4,7
Antoine Walker,F,running jump,20,9
Tyrus Thomas,F,follow up dunk,25,6
Luol Deng,F,running dunk,25,6
Shaquille O'Neal,C,dunk,25,6
Dwyane Wade,G,fade away,38,21
Kirk Hinrich,G,jump,46,6
Kirk Hinrich,G,reverse layup,25,6
Kirk Hinrich,G,driving layup,25,6
Ben Gordon,G,driving layup,25,6
Viktor Khryapa,G,jump,13,21
Ben Wallace,F-C,layup,25,6
Chris Duhon,G,jump,1,7
Chris Duhon,G,jump,4,21
Kirk Hinrich,G,jump,22,26
Dwyane Wade,G,jump,1,7
Shaquille O'Neal,C,turnaround jump,26,15
Dwyane Wade,G,layup,25,6
Kirk Hinrich,G,jump,5,22
Ben Wallace,F-C,follow up dunk,25,6
Udonis Haslem,F,jump,25,27
Kirk Hinrich,G,jump,48,8
Udonis Haslem,F,jump,22,8
Udonis Haslem,F,jump,24,21
Shaquille O'Neal,C,jump bank,28,8
Chris Duhon,G,jump,18,24
Chris Duhon,G,jump,25,28
Dwyane Wade,G,driving layup,25,6
Chris Duhon,G,jump,24,32
James Posey,F,layup,25,6
Chris Duhon,G,jump,39,22
Dwyane Wade,G,running dunk,25,6
Dwyane Wade,G,driving dunk,25,6
Andres Nocioni,F,jump,15,23
Thabo Sefolosha,G,tip,25,6
Malik Allen,F,tip,25,6
Chris Quinn,G,running jump,22,14
Kirk Hinrich,G,running jump,21,11
Thabo Sefolosha,G,jump,12,22
Dorell Wright,F,jump,14,20
Thabo Sefolosha,G,jump,23,26
Wayne Simien,F,jump,45,7
Andres Nocioni,F,jump,42,23
Jason Kapono,C,jump,17,20
Thabo Sefolosha,G,driving dunk,25,6
Malik Allen,F,layup,25,6
Viktor Khryapa,G,jump,39,8
Adrian Griffin,G-F,jump,25,14
Raja Bell,G,jump,18,22
Steve Nash,G,jump,5,14
Smush Parker,G,reverse layup,25,6
Boris Diaw,F,reverse layup,25,6
Andrew Bynum,C,hook,31,9
Raja Bell,G,running jump,34,4
Luke Walton,F,jump,48,8
Kurt Thomas,G,jump,19,20
Lamar Odom,F,driving layup,25,6
Steve Nash,G,jump,13,29
Shawn Marion,F,jump,2,6
Kurt Thomas,G,jump,11,8
Shawn Marion,F,jump bank,34,7
Amare Stoudemire,F-C,slam dunk,25,6
Raja Bell,G,jump,35,29
Luke Walton,F,layup,25,6
Leandro Barbosa,G,layup,25,6
Amare Stoudemire,F-C,hook,29,10
Lamar Odom,F,driving layup,25,6
Raja Bell,G,layup,25,6
Lamar Odom,F,layup,25,6
Maurice Evans,G-F,layup,25,6
Marcus Banks,G,layup,25,6
Leandro Barbosa,G,jump,2,7
Ronny Turiaf,C,turnaround jump,21,13
Maurice Evans,G-F,jump,11,19
Kurt Thomas,G,jump,35,6
Brian Cook,F-C,jump,15,16
Brian Cook,F-C,jump,45,22
Kurt Thomas,G,layup,27,6
Leandro Barbosa,G,layup,25,6
Lamar Odom,F,driving layup,25,6
Lamar Odom,F,turnaround hook,32,9
Brian Cook,F-C,layup,25,6
